Tipo_Chamado,Status,Organizacoes,criado,primeira_resoista,tempo_de_resolucao
Bug,Entregue,Claro - Hub de Aparelhos,24/04/2023,-16:00:00,00:00
Bug,Entregue,Visione,24/04/2023,-16:00:00,00:00
Bug,Entregue,Bulbe,24/04/2023,06:15,19:34
Bug,Entregue,Visione,24/04/2023,-21:52:00,-05:52:00
Bug,Entregue,Visione,24/04/2023,-22:01:00,-06:01:00
HelpDesk Support,Resolvido,Bulbe,24/04/2023,05:22,21:22
New Feature,Entregue,Claro - Hub de Aparelhos,18/04/2023,-48:00:00,-39:09:00
Bug,Entregue,Sintesc,18/04/2023,-24:00:00,-08:00:00
Bug,Entregue,Sintesc,18/04/2023,-32:00:00,-16:00:00
New Feature,Entregue,Claro - Hub de Aparelhos,17/04/2023,-101:24:00,-85:24:00
