Tipo_Chamado,Status,Organizacoes,criado,primeira_resoista,tempo_de_resolucao
Bug,Entregue,Bulbe,11/01/2024,02:34,18:34
Bug,Entregue,Pro Labore,10/01/2024,-08:40:00,07:19
HelpDesk Support,Resolvido,Visione,10/01/2024,-246:22:00,-222:22:00
Bug,Entregue,Visione,09/01/2024,-272:58:00,-249:18:00
New Feature,Entregue,Visione,09/01/2024,-364:19:00,
Bug,Entregue,Visione,09/01/2024,-272:58:00,-249:18:00
Bug,Entregue,Visione,09/01/2024,-272:59:00,-249:19:00
New Feature,Entregue,Visione,09/01/2024,-249:20:00,
New Feature,Entregue,Visione,09/01/2024,-249:20:00,
New Feature,Entregue,Visione,09/01/2024,-249:19:00,
New Feature,Entregue,Visione,09/01/2024,-249:19:00,
New Feature,Entregue,Visione,09/01/2024,-249:19:00,
New Feature,Entregue,Visione,09/01/2024,-249:20:00,
Bug,Entregue,Bulbe,09/01/2024,00:34,-15:03:00
Bug,Entregue,Pro Labore,08/01/2024,-31:05:00,-15:05:00
New Feature,Entregue,Pro Labore,08/01/2024,-29:26:00,-13:26:00
Bug,Entregue,B20,06/01/2024,-61:48:00,-45:48:00
Bug,Entregue,Sintesc,04/01/2024,-64:00:00,-48:00:00
Bug,Entregue,Sintesc,03/01/2024,-89:18:00,-73:18:00
New Feature,Entregue,Pro Labore,02/01/2024,00:03,16:03
Bug,Entregue,JM Contas,02/01/2024,-79:25:00,-63:25:00
Bug,Entregue,JM Contas,02/01/2024,-36:56:00,-20:56:00
Bug,Entregue,JM Contas,02/01/2024,-36:57:00,-20:57:00
Bug,Entregue,JM Contas,02/01/2024,-37:01:00,-21:01:00
New Feature,Entregue,Sintesc,30/12/2023,-420:24:00,
Bug,Entregue,JM Contas,27/12/2023,-67:06:00,-51:06:00
Bug,Entregue,JM Contas,27/12/2023,-67:09:00,-51:09:00
Bug,Entregue,JM Contas,27/12/2023,-67:12:00,-51:12:00
Bug,Entregue,JM Contas,26/12/2023,-112:00:00,-96:00:00
Bug,Entregue,JM Contas,26/12/2023,-112:00:00,-96:00:00
Bug,Entregue,JM Contas,26/12/2023,-69:21:00,-53:21:00
Bug,Entregue,Sintesc,19/12/2023,-133:07:00,-117:07:00
Bug,Entregue,Sintesc,18/12/2023,-126:11:00,-110:11:00
New Feature,Entregue,Pro Labore,13/12/2023,-112:33:00,-96:33:00
Bug,Entregue,Pro Labore,05/12/2023,-33:11:00,-17:11:00
Bug,Entregue,Solução em Focco,05/12/2023,03:13,19:13
Bug,Entregue,Sintesc,05/12/2023,-55:33:00,-39:33:00
Bug,Entregue,Solução em Focco,04/12/2023,-160:36:00,-144:36:00
New Feature,Entregue,Sintesc,02/12/2023,-580:17:00,
New Feature,Entregue,Sintesc,02/12/2023,-163:28:00,-147:28:00
New Feature,Entregue,Sintesc,02/12/2023,-168:00:00,-152:00:00
New Feature,Entregue,Sintesc,02/12/2023,-168:00:00,-152:00:00
New Feature,Entregue,Sintesc,02/12/2023,-163:29:00,-147:31:00
New Feature,Entregue,Solução em Focco,30/11/2023,-242:16:00,-226:16:00
New Feature,Entregue,Solução em Focco,30/11/2023,-242:20:00,-226:20:00
Bug,Entregue,Solução em Focco,30/11/2023,-18:23:00,-02:23:00
